S #,State Code,State Name,Geometry
1,27,MAHARASHTRA,"74.583813,18.464958"
2,19,WEST BENGAL,"87.857255,23.240636"
3,23,MADHYA PRADESH,"77.782248,23.330127"
4,3,PUNJAB,"75.856698,30.913355"
5,12,ARUNACHAL PRADESH,"94.798056,28.171514"
6,6,HARYANA,"76.315813,29.315134"
7,2,HIMACHAL PRADESH,"76.383156,32.185678"
8,20,JHARKHAND,"85.35492,23.99637"
9,17,MEGHALAYA,"90.591987,25.529365"
10,15,MIZORAM,"93.322545,23.478753"
11,13,NAGALAND,"94.528078,26.016836"
12,8,RAJASTHAN,"74.575359,27.400477"
13,16,TRIPURA,"91.629326,24.059355"
14,22,CHHATTISGARH,"82.162106,22.070991"
15,24,GUJARAT,"71.207829,22.037411"
16,10,BIHAR,"85.916027,25.393785"
17,14,MANIPUR,"93.933192,24.71767"
18,1,JAMMU & KASHMIR,"75.223326,33.573523"
19,18,ASSAM,"92.480229,26.702006"
20,32,KERALA,"76.215547,10.521655"
21,9,UTTAR PRADESH,"78.777523,28.446192"
22,36,TELANGANA,"78.851916,18.102598"
23,37,ANDHRA PRADESH,"81.684532,16.751317"
24,29,KARNATAKA,"75.806563,14.510405"
25,30,GOA,"73.958974,15.273172"
26,21,ODISHA,"85.880872,20.459843"
27,34,PUDUCHERRY,"82.214819,16.732214"
28,33,TAMIL NADU,"78.423171,10.608267"
29,5,UTTARAKHAND,"78.769812,30.155066"
30,11,SIKKIM,"88.599379,27.314583"
